L,S
8,0.500000
therm_cycles,mc_cycles,n_bins
10000,100,32 
cpu_time,n_threads
15.020938,32
n_betas,n_k,x,y,kinetic
3,0,0,0,.
beta,n,n2,n_std,E,E_std,Ov,Ov_std,m,m_std,m2,m2_std,m4,m4_std,ms,ms_std,m2s,m2s_std,m4s,m4s_std,sus,sus_std,S_mean,S_std
0.500000,1323.916719,17548064.688437,37.630189,-20.686199,0.587972,1.176250,6.796302,-0.000099,0.030362,0.002167,0.001515,0.000011,0.000015,-0.000137,0.003085,0.001972,0.000170,0.000012,0.000002,0.075048,0.067946,0.000000,0.000000
1.000000,2693.129344,72607740.985313,71.775619,-21.040073,0.560747,1.456250,7.815124,0.002115,0.027883,0.002085,0.001690,0.000013,0.000021,-0.000216,0.002345,0.001968,0.000106,0.000011,0.000001,0.151707,0.143644,0.000000,0.000000
2.000000,5386.484156,290343397.011562,137.572050,-21.040954,0.537391,-1.201250,7.000593,-0.001416,0.026546,0.001883,0.001451,0.000010,0.000016,0.000329,0.001510,0.001964,0.000067,0.000011,0.000001,0.274480,0.229054,0.000000,0.000000
